D 2019-04-11 10:00:39,412 pyplot.py:211 - switch_backend :: Loaded backend module://ipykernel.pylab.backend_inline version unknown.
D 2019-04-11 10:04:51,063 diff.py:144 - update :: diff code[equal] old[1:4] new[1:4]
D 2019-04-11 10:04:51,063 diff.py:214 - _copy_from_old_ :: diff actually copy 1 to 4
D 2019-04-11 10:04:51,063 diff.py:144 - update :: diff code[replace] old[5:5] new[5:6]
D 2019-04-11 10:04:51,064 diff.py:263 - _parse :: parse_part from 5 to 6 (to 5 in part parser)
D 2019-04-11 10:04:51,064 diff.py:173 - update :: diff parser end
D 2019-04-11 10:05:00,516 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:05:00,541 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:05:00,564 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:05:00,585 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:05:00,599 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:05:00,614 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:05:00,658 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:05:00,670 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:05:00,683 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:05:00,714 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:05:00,726 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:05:00,738 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:05:00,749 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:05:00,766 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:05:00,780 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:05:06,008 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:05:06,032 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:05:06,053 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:05:06,074 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:05:06,089 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:05:06,104 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:05:06,148 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:05:06,160 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:05:06,172 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:05:06,203 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:05:06,215 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:05:06,226 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:05:06,237 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:05:06,254 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:05:06,269 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:06:12,330 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:06:12,355 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:06:12,376 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:06:12,407 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:06:12,422 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:06:12,437 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:06:12,495 _base.py:2515 - _update_title_p :: update_title_pos
D 2019-04-11 10:06:12,507 _base.py:2515 - _update_title_p :: update_title_pos
